benchmark,n,instructionCount
heatmap_test,10,26
heatmap_test,20,26
heatmap_test,40,26
heatmap_test,80,26
heatmap_test,160,26
heatmap_test,320,26
binary_search,10,49
binary_search,20,61
binary_search,40,73
binary_search,80,85
binary_search,160,97
binary_search,320,109
recursive_binary_search,10,82
recursive_binary_search,20,102
recursive_binary_search,40,122
recursive_binary_search,80,142
recursive_binary_search,160,162
recursive_binary_search,320,182
linear_search,10,92
linear_search,20,172
linear_search,40,332
linear_search,80,652
linear_search,160,1292
linear_search,320,2572
bubble_sort,10,973
bubble_sort,20,4133
bubble_sort,40,17053
bubble_sort,80,69293
bubble_sort,160,279373
bubble_sort,320,1121933
